
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
63  187    0   17.49  184       0.00
64  156    0   12.54  140       0.00
65  105    0    8.69  110       0.02
66  139    0    6.23   75       0.00
67  165    0    4.53   55       0.00
68  195    0    3.67   38       0.00
69  195    0    2.34   23       0.00
70  242    0    1.68   15       0.00
71  208    0    1.60   14       0.00
72  264    0    1.67   13       0.00
73  299    0    1.43   10       0.00
74  118    0    1.42   12       0.00
75  112    0    1.13    7       0.00
76   82    0    0.82    6       0.00
77   52    0    0.82    6       0.00
78   39    0    0.73    6       0.00
79   23    0    0.76    7       0.00
80    9    0    0.61    5       0.00
81   11    0    0.49    4       0.00
82   11    0    0.48    4       0.00
83    5    0    0.43    4       0.00
84    4    0    0.21    2       0.00
85    8    0    0.36    2       0.00
86   14    0    0.36    2       0.00
87    6    0    0.31    3       0.00
88    2    0    0.27    5       0.08
89    0    0    0.28    2       1.00
90    0    0    0.19    2       1.00
91    4    0    0.22    2       0.00
92   11    0    0.26    2       0.00
93    2    0    0.21    2       0.02
94    6    0    0.11    2       0.00
95    1    0    0.17    3       0.26
96    0    0    0.13    2       1.00
97    0    0    0.18    2       1.00
98    1    0    0.12    2       0.22
99    0    0    0.17    2       1.00
100   1    0    0.20    2       0.34
101   0    0    0.15    1       1.00
102   0    0    0.09    1       1.00
103   1    0    0.13    2       0.22
104   0    0    0.11    1       1.00
105   0    0    0.19    1       1.00
106   0    0    0.12    1       1.00
107   0    0    0.08    2       1.00
108   0    0    0.05    1       1.00
109   0    0    0.10    2       1.00
110   0    0    0.09    2       1.00
111   0    0    0.10    2       1.00
112   0    0    0.11    2       1.00
113   0    0    0.11    2       1.00
114   0    0    0.09    1       1.00
115   0    0    0.06    2       1.00
116   2    0    0.07    2       0.02
117   0    0    0.10    2       1.00
118   0    0    0.15    2       1.00
119   0    0    0.06    1       1.00
120   0    0    0.09    1       1.00
121   0    0    0.05    2       1.00
122   0    0    0.08    1       1.00
123   1    0    0.10    2       0.18
124   0    0    0.02    1       1.00
125   0    0    0.01    1       1.00
126   0    0    0.01    1       1.00
127   0    0    0.03    1       1.00
129   1    0    0.06    1       0.12
130   0    0    0.01    1       1.00
131   0    0    0.02    1       1.00
132   0    0    0.02    1       1.00
133   0    0    0.02    1       1.00
135   0    0    0.01    1       1.00
136   1    0    0.01    1       0.02
137   1    0    0.06    1       0.12
138   1    0    0.03    1       0.06
139   0    0    0.01    1       1.00
140   3    0    0.02    1       0.00
142   0    0    0.01    1       1.00
143   4    0    0.03    1       0.00
144   0    0    0.01    1       1.00
145   1    0    0.02    1       0.04
146   0    0    0.05    1       1.00
148   0    0    0.03    1       1.00
151   0    0    0.01    1       1.00
153   0    0    0.01    1       1.00
156   0    0    0.01    1       1.00
157   0    0    0.01    1       1.00
158   0    0    0.01    1       1.00
159   0    0    0.01    1       1.00
161   0    0    0.02    1       1.00
164   0    0    0.01    1       1.00
165   0    0    0.01    1       1.00
167   0    0    0.01    1       1.00
168   0    0    0.01    1       1.00
172   1    0    0.00    0       0.00
173   1    0    0.00    0       0.00
199   1    0    0.00    0       0.00
