"journal","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"Management Science","m2_prior_expertise","edges",-6.17579217197596,0.0322832003023975,-191.300494192867,0,0.00207915821403271,0.00195167510965719,0.0022149684942895,"***","ok",NA
"Management Science","m2_prior_expertise","edgecov.prior",7.30146504263273,0.196270803938708,37.2009738387419,6.58114222976826e-303,1482.47021948458,1009.0597815492,2177.98587541022,"***","ok",NA
"Management Science","m2_prior_expertise","nodecov.expertise_model_z",-0.144786073773648,0.0246626980302777,-5.87065022634177,4.34089232537628e-09,0.865207363860654,0.824378951731464,0.908057854832941,"***","ok",NA
"Management Science","m3_prior_expertise_similarity","edges",-6.18768655245391,0.0568873265490733,-108.770914855986,0,0.00205457440955793,0.00183780066603243,0.00229691722417507,"***","ok",NA
"Management Science","m3_prior_expertise_similarity","edgecov.prior",7.32887587482787,0.22439562460415,32.6605114861599,5.68319238822279e-234,1523.66801536251,981.478836032992,2365.37369508872,"***","ok",NA
"Management Science","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.152883714407595,0.0403941283760811,-3.78480042901788,0.000153831974540007,0.85822951573664,0.792901556209762,0.92893991178735,"***","ok",NA
"Management Science","m3_prior_expertise_similarity","absdiff.expertise_model_z",0.0129696700654323,0.0509034467313064,0.254789624244751,0.798885589514635,1.01305414102804,0.916859454109959,1.11934134294368,"","ok",NA
"Management Science","m4_full","edges",-5.7422231361381,0.0653437568652673,-87.8771501916859,0,0.0032076293461244,0.00282203534847343,0.00364590968985706,"***","ok",NA
"Management Science","m4_full","edgecov.prior",7.37544604933273,0.227793849331045,32.3777225372501,5.65137811925641e-230,1596.30370192343,1021.44145990698,2494.69559323206,"***","ok",NA
"Management Science","m4_full","nodecov.expertise_model_z",-0.2639219442455,0.0425183469855708,-6.20724846935055,5.39203121349215e-10,0.768033486750357,0.706623063602455,0.834780899681721,"***","ok",NA
"Management Science","m4_full","absdiff.expertise_model_z",0.129417989343392,0.0519092520090762,2.49315843196437,0.0126612337415743,1.13816576591338,1.0280623895402,1.2600609883964,"*","ok",NA
"Management Science","m4_full","nodecov.leadership_model_z",0.105061968200661,0.0239326766878798,4.38989627323499,1.13404742051024e-05,1.11077944122632,1.05987812160185,1.16412532903907,"***","ok",NA
"Management Science","m4_full","absdiff.leadership_model_z",-0.578534791711852,0.0464419758524119,-12.4571528470361,1.27854146590087e-35,0.560719335591051,0.511933234208318,0.614154644192781,"***","ok",NA
"Mind","m0_edges","edges",-3.87634997410403,0.0950419564651242,-40.7856710686134,0,0.0207263389581816,0.0172036757985775,0.0249703105103247,"***","ok",NA
"Mind","m1_prior","edges",-3.90233991159118,0.0963041680805789,-40.5209866755304,0,0.0201946025335063,0.0167208960537666,0.0243899591370542,"***","ok",NA
"Mind","m1_prior","edgecov.prior",3.39151428782519,0.736619186637862,4.60416229898249,4.14129415830549e-06,29.7109090909069,7.01282546585532,125.87481654949,"***","ok",NA
"Mind","m2_prior_expertise","edges",-3.91103518182448,0.0971739470161166,-40.2477752722736,0,0.0200197662332418,0.016547899262816,0.0242200555894274,"***","ok",NA
"Mind","m2_prior_expertise","edgecov.prior",3.8449986447876,0.822393653902011,4.67537489685656,2.93417103555331e-06,46.7586209830064,9.32880647340279,234.367455522415,"***","ok",NA
"Mind","m2_prior_expertise","nodecov.expertise_model_z",-0.0960480359583292,0.0760386792839148,-1.26314708333772,0.20653632586333,0.908420378177189,0.782638913288023,1.05441675525772,"","ok",NA
"Mind","m3_prior_expertise_similarity","edges",-3.89218546796016,0.169051279147707,-23.0236972330709,2.69917381831792e-117,0.020400712179936,0.0146469087136817,0.0284148051704472,"***","ok",NA
"Mind","m3_prior_expertise_similarity","edgecov.prior",3.7824202768698,0.939772353928688,4.02482607735535,5.70174392468663e-05,43.9222171230011,6.96199772885901,277.09879148671,"***","ok",NA
"Mind","m3_prior_expertise_similarity","nodecov.expertise_model_z",-0.0779433667827648,0.15251024336538,-0.511069716124117,0.609302240585952,0.9250168117382,0.686009746398692,1.2472943810058,"","ok",NA
