
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
81   11   0   0.02   1       0.00
82    9   0   0.02   1       0.00
83    5   0   0.05   1       0.00
84    3   0   0.02   1       0.00
85    8   0   0.01   1       0.00
86   13   0   0.01   1       0.00
87    6   0   0.00   0       0.00
88    2   0   0.02   1       0.00
89    0   0   0.02   1       1.00
90    0   0   0.01   1       1.00
91    3   0   0.00   0       0.00
92   11   0   0.01   1       0.00
93    2   0   0.03   1       0.00
94    5   0   0.00   0       0.00
95    1   0   0.00   0       0.00
96    0   0   0.01   1       1.00
98    1   0   0.01   1       0.02
100   1   0   0.01   1       0.02
101   0   0   0.01   1       1.00
103   1   0   0.00   0       0.00
108   0   0   0.01   1       1.00
116   2   0   0.00   0       0.00
123   1   0   0.00   0       0.00
129   1   0   0.00   0       0.00
136   1   0   0.00   0       0.00
137   1   0   0.00   0       0.00
138   1   0   0.00   0       0.00
140   3   0   0.00   0       0.00
143   4   0   0.00   0       0.00
145   1   0   0.00   0       0.00
172   1   0   0.00   0       0.00
173   1   0   0.00   0       0.00
199   1   0   0.00   0       0.00
