u,v
GH_1754039,GH_32145654
GH_1754039,GH_33856227
GH_179693,GH_31594588
GH_1840429,GH_2105414
GH_1840429,GH_2188014
GH_1840429,GH_220289
GH_1840429,GH_2567901
GH_1840429,GH_35628131
GH_1840429,GH_51697753
GH_1840429,GH_5386272
GH_1840429,GH_62143
GH_1840429,GH_7610653
GH_1840429,GH_76171
GH_1840429,GH_788457
GH_18556,GH_37761268
GH_18556,GH_51697753
GH_18556,GH_9336666
GH_1897580,GH_271879
GH_1897580,GH_527405
GH_1897580,GH_9628127
GH_1921968,GH_235439
GH_1921968,GH_314639
GH_1921968,GH_3531170
GH_1921968,GH_367291
GH_1921968,GH_37553385
GH_1921968,GH_40557368
GH_1921968,GH_466518
GH_1921968,GH_48103450
GH_1921968,GH_51589803
GH_1921968,GH_51697751
GH_1921968,GH_51734854
GH_1921968,GH_606908
GH_1921968,GH_650183
GH_1921968,GH_6943680
GH_1921968,GH_76005
GH_1921968,GH_99701
GH_2105414,GH_2188014
GH_2105414,GH_220289
GH_2105414,GH_2567901
GH_2105414,GH_35628131
GH_2105414,GH_51697753
GH_2105414,GH_5386272
GH_2105414,GH_62143
GH_2105414,GH_7610653
GH_2105414,GH_76171
GH_2105414,GH_788457
GH_212879,GH_51697751
GH_218355,GH_51697751
GH_2188014,GH_220289
GH_2188014,GH_2567901
GH_2188014,GH_35628131
GH_2188014,GH_51697753
GH_2188014,GH_5386272
GH_2188014,GH_62143
GH_2188014,GH_7610653
GH_2188014,GH_76171
GH_2188014,GH_788457
GH_220289,GH_2567901
GH_220289,GH_35628131
GH_220289,GH_51697753
GH_220289,GH_5386272
GH_220289,GH_62143
GH_220289,GH_7610653
GH_220289,GH_76171
GH_220289,GH_788457
GH_2228703,GH_2266960
GH_2228703,GH_51697519
GH_2228703,GH_51697751
GH_2228703,GH_5764929
GH_2228703,GH_5840967
GH_2228703,GH_690024
GH_2228703,GH_6949588
GH_2246720,GH_40032644
GH_2266960,GH_51697751
GH_2266960,GH_5764929
GH_2266960,GH_5840967
GH_2266960,GH_690024
GH_2266960,GH_6949588
GH_235439,GH_314639
GH_235439,GH_3531170
GH_235439,GH_367291
GH_235439,GH_37553385
GH_235439,GH_40557368
GH_235439,GH_466518
GH_235439,GH_48103450
GH_235439,GH_51589803
GH_235439,GH_51697751
GH_235439,GH_51734854
GH_235439,GH_606908
GH_235439,GH_650183
GH_235439,GH_6943680
GH_235439,GH_76005
GH_235439,GH_99701
GH_239749,GH_51697751
GH_2442739,GH_315569
GH_2442739,GH_3179415
GH_2442739,GH_33856227
GH_2442739,GH_36295914
GH_2442739,GH_51697753
GH_249151,GH_4032239
GH_2567901,GH_35628131
GH_2567901,GH_51697753
GH_2567901,GH_5386272
GH_2567901,GH_62143
GH_2567901,GH_7610653
GH_2567901,GH_76171
GH_2567901,GH_788457
GH_2710410,GH_51697751
GH_2710410,GH_6059
GH_271879,GH_527405
GH_271879,GH_9628127
GH_2864361,GH_33856227
GH_2995258,GH_31944061
GH_2995258,GH_32956985
GH_30351173,GH_51697753
GH_3066619,GH_51697751
GH_31004,GH_40987195
GH_31176371,GH_51697751
GH_31178340,GH_51697753
GH_31178340,GH_8554353
GH_31230251,GH_51697753
GH_31264752,GH_54132545
GH_31264752,GH_8036665
GH_314639,GH_3531170
GH_314639,GH_367291
GH_314639,GH_37553385
GH_314639,GH_40557368
GH_314639,GH_466518
GH_314639,GH_48103450
GH_314639,GH_51589803
GH_314639,GH_51697751
GH_314639,GH_51734854
GH_314639,GH_606908
GH_314639,GH_650183
GH_314639,GH_6943680
GH_314639,GH_76005
GH_314639,GH_99701
GH_315569,GH_3179415
GH_315569,GH_33856227
GH_315569,GH_36295914
GH_315569,GH_51697753
GH_3179415,GH_33856227
GH_3179415,GH_36295914
GH_3179415,GH_51697753
GH_31944061,GH_32956985
GH_31944061,GH_9478906
GH_32145654,GH_33856227
GH_3249347,GH_33560316
GH_3249347,GH_360543
GH_3249347,GH_7667538
GH_3249347,GH_7825140
GH_3322716,GH_51083036
GH_33353573,GH_3832251
GH_33353573,GH_5116436
GH_33560316,GH_360543
GH_33560316,GH_7667538
GH_33560316,GH_7825140
GH_33856227,GH_36295914
GH_33856227,GH_40032644
GH_33856227,GH_48494734
GH_33856227,GH_50449700
GH_33856227,GH_51697519
GH_33856227,GH_51697751
GH_33856227,GH_51697753
GH_33856227,GH_53783540
GH_33856227,GH_55887580
GH_33856227,GH_6595467
GH_33856227,GH_9478906
GH_3477005,GH_6549865
GH_3477005,GH_9697073
GH_3531170,GH_367291
GH_3531170,GH_37553385
GH_3531170,GH_40557368
GH_3531170,GH_466518
GH_3531170,GH_48103450
GH_3531170,GH_51589803
GH_3531170,GH_51697751
GH_3531170,GH_51734854
GH_3531170,GH_606908
GH_3531170,GH_650183
GH_3531170,GH_6943680
GH_3531170,GH_76005
GH_3531170,GH_99701
GH_35628131,GH_51697753
GH_35628131,GH_5386272
GH_35628131,GH_62143
GH_35628131,GH_7610653
GH_35628131,GH_76171
GH_35628131,GH_788457
GH_360543,GH_7667538
GH_360543,GH_7825140
GH_36295914,GH_51697519
GH_36295914,GH_51697753
GH_36341192,GH_43610
GH_36341192,GH_50215413
GH_36341192,GH_51706678
GH_36341192,GH_6139690
GH_367291,GH_37553385
GH_367291,GH_40557368
GH_367291,GH_466518
GH_367291,GH_48103450
GH_367291,GH_51589803
GH_367291,GH_51697751
GH_367291,GH_51734854
GH_367291,GH_606908
GH_367291,GH_650183
GH_367291,GH_6943680
GH_367291,GH_76005
GH_367291,GH_99701
GH_37553385,GH_40557368
GH_37553385,GH_466518
GH_37553385,GH_48103450
GH_37553385,GH_51589803
GH_37553385,GH_51697751
GH_37553385,GH_51734854
GH_37553385,GH_606908
GH_37553385,GH_650183
GH_37553385,GH_6943680
GH_37553385,GH_76005
GH_37553385,GH_99701
GH_37761268,GH_9336666
GH_40032644,GH_51697519
GH_40032644,GH_51697751
GH_40032644,GH_51697753
GH_40032644,GH_51702498
GH_40557368,GH_466518
GH_40557368,GH_48103450
GH_40557368,GH_51589803
GH_40557368,GH_51697751
GH_40557368,GH_51734854
GH_40557368,GH_606908
GH_40557368,GH_650183
GH_40557368,GH_6943680
GH_40557368,GH_76005
GH_40557368,GH_99701
GH_405856,GH_7372371
GH_43610,GH_50215413
GH_43610,GH_51706678
GH_43610,GH_6139690
GH_43761397,GH_56255770
GH_4431464,GH_4968089
GH_4431464,GH_51697751
GH_4431464,GH_5916265
GH_44319348,GH_725101
GH_44545370,GH_51697751
GH_466518,GH_48103450
GH_466518,GH_51589803
GH_466518,GH_51697751
GH_466518,GH_51734854
GH_466518,GH_606908
GH_466518,GH_650183
GH_466518,GH_6943680
GH_466518,GH_76005
GH_466518,GH_99701
GH_47098907,GH_51697751
GH_48103450,GH_51589803
GH_48103450,GH_51697751
GH_48103450,GH_51734854
GH_48103450,GH_606908
GH_48103450,GH_650183
GH_48103450,GH_6943680
GH_48103450,GH_76005
GH_48103450,GH_99701
GH_48343157,GH_48494734
GH_48494734,GH_50449700
GH_48494734,GH_51697753
GH_48494734,GH_8554353
GH_4968089,GH_51697751
GH_4968089,GH_5916265
GH_50215413,GH_51706678
GH_50215413,GH_6139690
GH_50449700,GH_51697753
GH_51083036,GH_8554353
GH_51589803,GH_51697751
GH_51589803,GH_51734854
GH_51589803,GH_606908
GH_51589803,GH_650183
GH_51589803,GH_6943680
GH_51589803,GH_76005
GH_51589803,GH_99701
GH_51697519,GH_51697751
GH_51697519,GH_51697753
GH_51697692,GH_51697751
GH_51697692,GH_51697753
GH_51697751,GH_51697753
GH_51697751,GH_51702498
GH_51697751,GH_51734854
GH_51697751,GH_52719455
GH_51697751,GH_53094343
GH_51697751,GH_53837494
GH_51697751,GH_5556969
GH_51697751,GH_55887580
GH_51697751,GH_57055953
GH_51697751,GH_5764929
GH_51697751,GH_5840967
GH_51697751,GH_5916265
GH_51697751,GH_6059
GH_51697751,GH_606908
GH_51697751,GH_62143
GH_51697751,GH_650183
GH_51697751,GH_690024
GH_51697751,GH_6943680
GH_51697751,GH_6949588
GH_51697751,GH_76005
GH_51697751,GH_7610653
GH_51697751,GH_8554353
GH_51697751,GH_85975
GH_51697751,GH_9001261
GH_51697751,GH_91343
GH_51697751,GH_9701
GH_51697751,GH_99701
GH_51697753,GH_53094343
GH_51697753,GH_53095746
GH_51697753,GH_5386272
GH_51697753,GH_6059
GH_51697753,GH_62143
GH_51697753,GH_7610653
GH_51697753,GH_76171
GH_51697753,GH_788457
GH_51697753,GH_8554353
GH_51697753,GH_91343
GH_51697753,GH_9336666
GH_51706678,GH_6139690
GH_51734854,GH_606908
GH_51734854,GH_650183
GH_51734854,GH_6943680
GH_51734854,GH_76005
GH_51734854,GH_99701
GH_51833414,GH_58037215
GH_527405,GH_9628127
GH_5386272,GH_62143
GH_5386272,GH_7610653
GH_5386272,GH_76171
GH_5386272,GH_788457
GH_54132545,GH_8036665
GH_56160681,GH_56857483
GH_56160681,GH_56857484
GH_56160681,GH_56857485
GH_56160681,GH_56857486
GH_56160681,GH_56857488
GH_56160681,GH_56857491
GH_56160681,GH_56857506
GH_56857483,GH_56857484
GH_56857483,GH_56857485
GH_56857483,GH_56857486
GH_56857483,GH_56857488
GH_56857483,GH_56857491
GH_56857483,GH_56857506
GH_56857484,GH_56857485
GH_56857484,GH_56857486
GH_56857484,GH_56857488
GH_56857484,GH_56857491
GH_56857484,GH_56857506
GH_56857485,GH_56857486
GH_56857485,GH_56857488
GH_56857485,GH_56857491
GH_56857485,GH_56857506
GH_56857486,GH_56857488
GH_56857486,GH_56857491
GH_56857486,GH_56857506
GH_56857488,GH_56857491
GH_56857488,GH_56857506
GH_56857491,GH_56857506
GH_57147301,GH_8937810
GH_5764929,GH_5840967
GH_5764929,GH_690024
GH_5764929,GH_6949588
GH_5840967,GH_690024
GH_5840967,GH_6949588
GH_606908,GH_650183
GH_606908,GH_6943680
GH_606908,GH_76005
GH_606908,GH_99701
GH_62143,GH_7610653
GH_62143,GH_76171
GH_62143,GH_788457
GH_650183,GH_6943680
GH_650183,GH_76005
GH_650183,GH_99701
GH_6549865,GH_9697073
GH_690024,GH_6949588
GH_6943680,GH_76005
GH_6943680,GH_99701
GH_76005,GH_99701
GH_7610653,GH_76171
GH_7610653,GH_788457
GH_76171,GH_788457
GH_7667538,GH_7825140
