u,v,co_projects,co_commit_weight
37553385,6943680,4,196
37553385,76005,4,292
37553385,99701,4,293
37761268,9336666,1,77
40032644,51697519,1,17
40032644,51697751,7,306
40032644,51697753,8,487
40032644,51702498,1,33
40557368,466518,4,92
40557368,48103450,4,91
40557368,51589803,3,57
40557368,51697751,3,62
40557368,51734854,4,92
40557368,606908,4,92
40557368,650183,4,92
40557368,6943680,4,92
40557368,76005,4,92
40557368,99701,4,92
405856,7372371,4,99
43610,50215413,2,59
43610,51706678,3,63
43610,6139690,4,140
43761397,56255770,4,319
4431464,4968089,8,215
4431464,51697751,8,114
4431464,5916265,8,215
44319348,725101,4,124
44545370,51697751,4,45
466518,48103450,4,144
466518,51589803,4,89
466518,51697751,3,178
466518,51734854,4,349
466518,606908,4,145
466518,650183,4,119
466518,6943680,5,207
466518,76005,5,349
466518,99701,5,378
47098907,51697751,1,13
48103450,51589803,3,59
48103450,51697751,3,89
48103450,51734854,4,144
48103450,606908,4,134
48103450,650183,4,111
48103450,6943680,4,144
48103450,76005,4,144
48103450,99701,4,144
48343157,48494734,1,19
48494734,50449700,3,712
48494734,51697753,1,21
48494734,8554353,1,57
4968089,51697751,8,114
4968089,5916265,8,544
50215413,51706678,1,16
50215413,6139690,1,10
50449700,51697753,1,21
51083036,8554353,1,23
51589803,51697751,2,29
51589803,51734854,3,73
51589803,606908,3,62
51589803,650183,3,66
51589803,6943680,4,84
51589803,76005,4,87
51589803,99701,4,89
51697519,51697751,6,174
51697519,51697753,1,19
51697692,51697751,1,112
51697692,51697753,5,383
51697751,51697753,38,2652
51697751,51702498,2,238
51697751,51734854,3,167
51697751,52719455,1,16
51697751,53094343,5,469
51697751,53837494,3,30
51697751,5556969,6,126
51697751,55887580,1,14
51697751,57055953,1,15
51697751,5764929,1,10
51697751,5840967,1,10
51697751,5916265,8,114
51697751,6059,6,94
51697751,606908,3,88
51697751,62143,1,10
51697751,650183,3,75
51697751,690024,1,10
51697751,6943680,3,111
51697751,6949588,1,10
51697751,76005,3,156
51697751,7610653,1,10
51697751,8554353,3,46
51697751,85975,3,34
51697751,9001261,2,24
51697751,91343,4,75
51697751,9701,1,27
51697751,99701,3,191
51697753,53094343,1,205
51697753,53095746,2,42
51697753,5386272,7,397
51697753,6059,1,10
51697753,62143,7,252
51697753,7610653,7,397
51697753,76171,7,397
51697753,788457,7,397
51697753,8554353,1,39
51697753,91343,5,144
51697753,9336666,2,78
51706678,6139690,2,48
51734854,606908,4,145
51734854,650183,4,119
51734854,6943680,4,196
51734854,76005,4,364
51734854,99701,4,399
51833414,58037215,3,65
527405,9628127,7,481
5386272,62143,9,274
5386272,7610653,7,413
5386272,76171,10,479
5386272,788457,7,413
54132545,8036665,5,70
56160681,56857483,4,49
56160681,56857484,4,51
56160681,56857485,4,40
56160681,56857486,4,140
56160681,56857488,4,60
56160681,56857491,4,80
56160681,56857506,4,138
56857483,56857484,4,49
56857483,56857485,4,40
56857483,56857486,4,49
56857483,56857488,4,49
56857483,56857491,4,49
56857483,56857506,4,49
56857484,56857485,4,40
56857484,56857486,4,51
56857484,56857488,4,51
56857484,56857491,4,51
56857484,56857506,4,51
56857485,56857486,4,40
56857485,56857488,4,40
56857485,56857491,4,40
56857485,56857506,4,40
56857486,56857488,4,60
56857486,56857491,4,80
56857486,56857506,4,137
56857488,56857491,4,60
56857488,56857506,4,60
56857491,56857506,4,80
57147301,8937810,3,63
5764929,5840967,4,53
5764929,690024,3,100
5764929,6949588,3,100
5840967,690024,3,40
5840967,6949588,3,40
606908,650183,4,115
606908,6943680,4,145
606908,76005,4,145
606908,99701,4,145
62143,7610653,8,285
62143,76171,9,274
62143,788457,7,252
650183,6943680,4,119
650183,76005,4,119
650183,99701,4,119
6549865,9697073,5,210
690024,6949588,4,324
